Month;NO;PH;DO;COD;NH3-N;TP;CODMn;F;Oil;Cr6+;LAS;Cu;Zn;Cd;As;Hg;CN;VP;S;Se;;;;;;;;;;;;;;;;;;;;;;
Juli;M1;7.47;6.9;32;1.48 ;0.36;7.5;0.75;0.24;0.021 ;0.29;0.07;0.05;0.0003 ;0.0032;0.00026;0.018;0.0012;0.012;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juli;M2;7.58;8.5;16;1.12 ;0.24;4.6;0.76;0.15;0.013 ;0.07;0.06;0.03;0.0003 ;0.0034;0.00025;0.016;0.0006;0.013;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juli;T1;7.49;8.2;26;1.24 ;0.32;7.1;0.81;0.19;0.021 ;0.15;0.08;0.05;0.0003 ;0.0036;0.00026;0.014;0.0012;0.014;0.0008;;;;;;;;;;;;;;;;;;;;;;
Juli;T2;7.52;8.3;15;0.88 ;0.15;5.9;0.39;0.09;0.023 ;0.12;0.04;0.04;0.0002 ;0.0014;0.00012;0.008;0.0007;0.008;0.0004;;;;;;;;;;;;;;;;;;;;;;
Juli;T3;7.79;8.2;14;0.82 ;0.14;6.1 ;0.38;0.08;0.019 ;0.14;0.03;0.06;0.0002 ;0.0016;0.0003;0.006;0.0005;0.009;0.0003;;;;;;;;;;;;;;;;;;;;;;
Juli;M3;7.65;8.4;23;1.32 ;0.21;4.8;0.62;0.07;0.021 ;0.13;0.05;0.06;0.0003 ;0.0011;0.00025;0.007;0.0009;0.005;0.0004;;;;;;;;;;;;;;;;;;;;;;
Juli;M4;7.31;8.2;28;0.77 ;0.23;7.1;0.76;0.07;0.022 ;0.15;0.05;0.04;0.0002 ;0.0028;0.00022;0.009;0.0012;0.011;0.0004;;;;;;;;;;;;;;;;;;;;;;
Juli;T4;7.32;8.2;19;0.96 ;0.21;4.9;0.65;0.08;0.015 ;0.13;0.04;0.05;0.0003 ;0.0022;0.00015;0.011;0.0006;0.006;0.0005;;;;;;;;;;;;;;;;;;;;;;
Juli;T5;7.32;7.9;18;0.82 ;0.11;3.1;0.62;0.06;0.015 ;0.14;0.05;0.03;0.0002 ;0.002;0.00016;0.01;0.0005;0.005;0.0004;;;;;;;;;;;;;;;;;;;;;;
Juli;M5;7.28;7.8;36;0.92 ;0.33;8.1;0.75;0.07;0.026 ;0.13;0.06;0.04;0.0005 ;0.0028;0.00018;0.018;0.0008;0.006;0.0008;;;;;;;;;;;;;;;;;;;;;;
Juli;M6;7.32;7.6;38;0.86 ;0.19;7.8 ;0.73;0.08;0.022 ;0.11;0.05;0.05;0.0005 ;0.0025;0.00016;0.017;0.001;0.005;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juli;T6;7.32;8.2;32;1.21 ;0.31;7.6;0.72;0.06;0.023 ;0.2;0.06;0.05;0.0004 ;0.0032;0.00018;0.008;0.0009;0.008;0.0008;;;;;;;;;;;;;;;;;;;;;;
Juli;M7;7.42;8.3;29;0.75 ;0.28;7.5;0.71;0.07;0.023 ;0.16;0.05;0.04;0.0004 ;0.0028;0.00016;0.015;0.0009;0.006;0.0007;;;;;;;;;;;;;;;;;;;;;;
Juli;M8;7.42;8.8;23;0.68 ;0.26;7.2;0.68;0.06;0.022 ;0.17;0.05;0.03;0.0003 ;0.0026;0.00021;0.011;0.0008;0.005;0.0007;;;;;;;;;;;;;;;;;;;;;;
Agustus;M1;7.46;6.8;33;1.47 ;0.38;7.4;0.74;0.23;0.020 ;0.3;0.07;0.04;0.0003 ;0.0032;0.00026;0.018;0.0012;0.012;0.0006;;;;;;;;;;;;;;;;;;;;;;
Agustus;M2;7.88;8.7;18;1.02 ;0.21;4.8;0.78;0.14;0.012 ;0.28;0.06;0.03;0.0003 ;0.0034;0.00025;0.016;0.0006;0.013;0.0006;;;;;;;;;;;;;;;;;;;;;;
Agustus;T1;7.46;8.9;28;1.28 ;0.36;7.2;0.82;0.18;0.024 ;0.14;0.08;0.05;0.0003 ;0.0036;0.00026;0.014;0.0012;0.014;0.0008;;;;;;;;;;;;;;;;;;;;;;
Agustus;T2;7.57;8.2;16;0.86 ;0.14;5.8;0.38;0.08;0.022 ;0.11;0.04;0.03;0.0002 ;0.0014;0.00012;0.008;0.0007;0.008;0.0004;;;;;;;;;;;;;;;;;;;;;;
Agustus;T3;7.77;8.7;15;0.84 ;0.13;6.0 ;0.41;0.09;0.018 ;0.13;0.03;0.05;0.0002 ;0.0016;0.0003;0.006;0.0005;0.009;0.0003;;;;;;;;;;;;;;;;;;;;;;
Agustus;M3;7.67;8.6;24;1.29 ;0.2;4.6;0.61;0.06;0.019 ;0.12;0.05;0.06;0.0003 ;0.0011;0.00026;0.007;0.0009;0.005;0.0004;;;;;;;;;;;;;;;;;;;;;;
Agustus;M4;7.32;8.3;28;0.81 ;0.22;7;0.77;0.06;0.021 ;0.14;0.05;0.06;0.0002 ;0.0028;0.00022;0.009;0.0012;0.01;0.0004;;;;;;;;;;;;;;;;;;;;;;
Agustus;T4;7.33;8.8;18;0.97 ;0.22;4.7;0.66;0.08;0.014 ;0.13;0.04;0.05;0.0003 ;0.0022;0.00013;0.011;0.0006;0.006;0.0005;;;;;;;;;;;;;;;;;;;;;;
Agustus;T5;7.35;8.8;19;0.84 ;0.12;3;0.61;0.06;0.014 ;0.15;0.05;0.03;0.0002 ;0.002;0.00015;0.01;0.0005;0.005;0.0004;;;;;;;;;;;;;;;;;;;;;;
Agustus;M5;7.34;7.5;44;0.97 ;0.32;8.2;0.76;0.08;0.024 ;0.14;0.06;0.04;0.0005 ;0.0028;0.00018;0.018;0.0008;0.006;0.0008;;;;;;;;;;;;;;;;;;;;;;
Agustus;M6;7.33;7.9;42;0.85 ;0.18;8.0 ;0.74;0.06;0.021 ;0.12;0.05;0.05;0.0005 ;0.0025;0.00016;0.017;0.001;0.005;0.0006;;;;;;;;;;;;;;;;;;;;;;
Agustus;T6;7.35;8.6;36;1.24 ;0.32;7.7;0.76;0.08;0.021 ;0.22;0.06;0.05;0.0004 ;0.0032;0.00018;0.008;0.0009;0.008;0.0008;;;;;;;;;;;;;;;;;;;;;;
Agustus;M7;7.41;8.7;30;0.74 ;0.26;7.6;0.71;0.06;0.021 ;0.16;0.05;0.04;0.0004 ;0.0028;0.00016;0.015;0.0009;0.006;0.0007;;;;;;;;;;;;;;;;;;;;;;
Agustus;M8;7.46;9.1;24;0.66 ;0.24;7.3;0.66;0.06;0.021 ;0.18;0.05;0.03;0.0003 ;0.0026;0.00015;0.011;0.0008;0.005;0.0007;;;;;;;;;;;;;;;;;;;;;;
September;M1;7.43;8.2;33;1.43 ;0.36;8.3;0.66;0.18;0.023 ;0.26;0.06;0.06;0.0002 ;0.0026;0.00015;0.016;0.001;0.012;0.0013;;;;;;;;;;;;;;;;;;;;;;
September;M2;7.31;8.8;13;1.68 ;0.32;3.5;0.94;0.09;0.012 ;0.22;0.05;0.05;0.0002 ;0.002;0.00019;0.015;0.0004;0.007;0.0009;;;;;;;;;;;;;;;;;;;;;;
September;T1;7.46;8.7;28;1.23 ;0.37;7.8;1.1;0.16;0.020 ;0.11;0.08;0.06;0.0003 ;0.0026;0.00016;0.012;0.0009;0.014;0.0012;;;;;;;;;;;;;;;;;;;;;;
September;T2;7.27;7.8;10;1.42 ;0.14;5;0.46;0.08;0.010 ;0.09;0.04;0.05;0.0002 ;0.0028;0.00019;0.007;0.0005;0.008;0.0007;;;;;;;;;;;;;;;;;;;;;;
September;T3;7.28;9.2;10;1.76 ;0.14;5.1;0.38;0.06;0.010 ;0.08;0.03;0.04;0.0002 ;0.0022;0.00019;0.006;0.0004;0.01;0.0006;;;;;;;;;;;;;;;;;;;;;;
September;M3;7.32;9.5;15;1.27 ;0.12;6.3;0.59;0.06;0.013 ;0.07;0.04;0.04;0.0003 ;0.0038;0.00018;0.006;0.0006;0.005;0.0008;;;;;;;;;;;;;;;;;;;;;;
September;M4;7.38;8.8;24;1.54 ;0.27;7.4;0.61;0.12;0.020 ;0.09;0.04;0.05;0.0002 ;0.0036;0.00026;0.008;0.0009;0.011;0.0013;;;;;;;;;;;;;;;;;;;;;;
September;T4;7.34;8.9;9;0.72 ;0.21;4.6;0.71;0.11;0.010 ;0.05;0.03;0.06;0.0003 ;0.0032;0.00009;0.01;0.0004;0.006;0.0006;;;;;;;;;;;;;;;;;;;;;;
September;T5;7.29;8.4;15;0.76 ;0.11;2.5;0.63;0.02;0.012 ;0.04;0.03;0.07;0.0002 ;0.0026;0.00008;0.009;0.0003;0.005;0.0008;;;;;;;;;;;;;;;;;;;;;;
September;M5;7.74;9.6;37;0.95 ;0.2;7.2;0.69;0.06;0.022 ;0.08;0.04;0.05;0.0004 ;0.0035;0.00016;0.017;0.0006;0.006;0.0013;;;;;;;;;;;;;;;;;;;;;;
September;M6;7.36;9.0 ;24;0.74 ;0.16;7.5;0.9;0.14;0.020 ;0.07;0.03;0.06;0.0004 ;0.0032;0.00013;0.015;0.0008;0.006;0.0008;;;;;;;;;;;;;;;;;;;;;;
September;T6;7.42;8.6;32;1.42 ;0.18;8.5;0.98;0.16;0.024 ;0.08;0.04;0.06;0.0003 ;0.0036;0.00015;0.006;0.0007;0.009;0.0012;;;;;;;;;;;;;;;;;;;;;;
September;M7;7.38;9.1;26;1.21 ;0.17;7.8;0.84;0.13;0.021 ;0.07;0.03;0.05;0.0003 ;0.0032;0.00012;0.013;0.0007;0.007;0.001;;;;;;;;;;;;;;;;;;;;;;
September;M8;7.41;9.3;29;0.62 ;0.15;8.3;0.72;0.12;0.020 ;0.06;0.02;0.04;0.0003 ;0.003;0.00009;0.009;0.0006;0.006;0.0009;;;;;;;;;;;;;;;;;;;;;;
Oktober;M1;7.45;6.8;30;1.02 ;0.44;8.4;0.62;0.15;0.022 ;0.16;0.05;0.05;0.0003 ;0.0022;0.0001;0.017;0.0015;0.011;0.001;;;;;;;;;;;;;;;;;;;;;;
Oktober;M2;7.52;8.4;9;0.42 ;0.19;3.6;0.91;0.07;0.009 ;0.14;0.04;0.04;0.0003 ;0.0012;0.00014;0.016;0.0009;0.009;0.0005;;;;;;;;;;;;;;;;;;;;;;
Oktober;T1;7.88;8.7;25;1.24 ;0.24;7.8;0.94;0.16;0.018 ;0.13;0.07;0.04;0.0003 ;0.002;0.00011;0.015;0.0012;0.014;0.0009;;;;;;;;;;;;;;;;;;;;;;
Oktober;T2;7.83;8.2;4;1.32 ;0.12;5.1;0.42;0.08;0.007 ;0.12;0.03;0.03;0.0002 ;0.0008;0.00011;0.009;0.0007;0.006;0.0005;;;;;;;;;;;;;;;;;;;;;;
Oktober;T3;7.57;8.5;5;1.63 ;0.2;5.2;0.38;0.07;0.008 ;0.12;0.02;0.02;0.0002 ;0.0008;0.00013;0.005;0.0006;0.008;0.0004;;;;;;;;;;;;;;;;;;;;;;
Oktober;M3;7.95;8.6;6;1.19 ;0.28;6.5;0.52;0.06;0.013 ;0.16;0.03;0.03;0.0004 ;0.0012;0.00014;0.008;0.0012;0.009;0.0006;;;;;;;;;;;;;;;;;;;;;;
Oktober;M4;7.85;8.1;25;1.78 ;0.32;7.5;0.58;0.12;0.019 ;0.18;0.03;0.05;0.0003 ;0.002;0.00016;0.01;0.0016;0.012;0.0008;;;;;;;;;;;;;;;;;;;;;;
Oktober;T4;7.65;8.8;6;0.44 ;0.23;4.5;0.7;0.07;0.012 ;0.09;0.02;0.04;0.0003 ;0.0009;0.00006;0.012;0.0009;0.008;0.0005;;;;;;;;;;;;;;;;;;;;;;
Oktober;T5;7.83;8.5;24;0.67 ;0.14;2.4;0.6;0.04;0.008 ;0.08;0.02;0.03;0.0001 ;0.0012;0.00005;0.01;0.0008;0.009;0.0005;;;;;;;;;;;;;;;;;;;;;;
Oktober;M5;7.92;7.1;31;0.83 ;0.13;7.3;0.63;0.12;0.020 ;0.16;0.03;0.06;0.0003 ;0.0023;0.00015;0.018;0.0013;0.008;0.0004;;;;;;;;;;;;;;;;;;;;;;
Oktober;M6;7.71;7.6;22;0.72 ;0.12;7.1;0.84;0.18;0.018 ;0.15;0.02;0.05;0.0002 ;0.0021;0.00007;0.018;0.0012;0.007;0.0006;;;;;;;;;;;;;;;;;;;;;;
Oktober;T6;7.75;8.3;9;0.73 ;0.22;8.2;0.96;0.16;0.021 ;0.16;0.03;0.05;0.0003 ;0.0022;0.00008;0.009;0.0009;0.01;0.0005;;;;;;;;;;;;;;;;;;;;;;
Oktober;M7;7.85;8.4;25;0.79 ;0.09;7.8;0.82;0.17;0.019 ;0.15;0.02;0.05;0.0002 ;0.002;0.00007;0.016;0.0012;0.008;0.0004;;;;;;;;;;;;;;;;;;;;;;
Oktober;M8;7.95;8.8;19;0.45 ;0.15;7.2;0.69;0.16;0.018 ;0.14;0.02;0.04;0.0002 ;0.0018;0.00006;0.012;0.001;0.007;0.0004;;;;;;;;;;;;;;;;;;;;;;
November;M1;7.81;8.1;26;1.43 ;0.43;7.5;0.46;0.19;0.019 ;0.29;0.06;0.06;0.0002 ;0.0016;0.00013;0.013;0.001;0.01;0.0009;;;;;;;;;;;;;;;;;;;;;;
November;M2;7.62;9.1;10;1.47 ;0.23;2.8;0.72;0.18;0.012 ;0.28;0.05;0.04;0.0002 ;0.0008;0.00009;0.009;0.0003;0.008;0.0004;;;;;;;;;;;;;;;;;;;;;;
November;T1;7.49;8.2;26;1.28 ;0.28;8.2;0.78;0.2;0.018 ;0.26;0.08;0.04;0.0003 ;0.0015;0.00012;0.012;0.0009;0.011;0.0006;;;;;;;;;;;;;;;;;;;;;;
November;T2;7.48;8.6;6;1.25 ;0.12;5.2;0.43;0.05;0.008 ;0.22;0.04;0.04;0.0003 ;0.0009;0.00009;0.007;0.0003;0.007;0.0005;;;;;;;;;;;;;;;;;;;;;;
November;T3;7.65;8.8;6;1.31 ;0.08;5.8;0.42;0.05;0.008 ;0.23;0.03;0.03;0.0003 ;0.0009;0.00018;0.006;0.0003;0.006;0.0004;;;;;;;;;;;;;;;;;;;;;;
November;M3;7.75;8.2;15;1.13 ;0.33;6.6;0.61;0.05;0.015 ;0.18;0.04;0.05;0.0003 ;0.0013;0.00015;0.014;0.0004;0.008;0.0006;;;;;;;;;;;;;;;;;;;;;;
November;M4;7.78;8.4;21;1.40 ;0.27;5.4;0.63;0.17;0.018 ;0.26;0.05;0.03;0.0003 ;0.0015;0.00013;0.013;0.0008;0.011;0.0009;;;;;;;;;;;;;;;;;;;;;;
November;T4;7.77;7.9;5;0.41 ;0.23;2.5;0.51;0.06;0.016 ;0.08;0.03;0.04;0.0001 ;0.0008;0.00009;0.006;0.0004;0.006;0.0005;;;;;;;;;;;;;;;;;;;;;;
November;T5;7.35;8.0 ;6;0.39 ;0.13;2.4;0.55;0.06;0.006 ;0.12;0.02;0.05;0.0003 ;0.0008;0.00008;0.005;0.0003;0.005;0.0004;;;;;;;;;;;;;;;;;;;;;;
November;M5;7.9;8;15;0.67 ;0.17;6.6;0.65;0.06;0.020 ;0.09;0.04;0.03;0.0004 ;0.0012;0.00015;0.012;0.0006;0.008;0.0006;;;;;;;;;;;;;;;;;;;;;;
November;M6;7.62;8.3;13;0.57 ;0.1;4.5;0.79;0.13;0.020 ;0.27;0.03;0.04;0.0003 ;0.0009;0.00013;0.008;0.0004;0.007;0.0004;;;;;;;;;;;;;;;;;;;;;;
November;T6;7.62;8.6;22;0.46 ;0.17;6.3;0.86;0.15;0.018 ;0.26;0.04;0.03;0.0003 ;0.0012;0.00015;0.009;0.0005;0.006;0.0005;;;;;;;;;;;;;;;;;;;;;;
November;M7;7.48;8.2;16;0.64 ;0.10 ;6.1;0.83;0.1;0.017 ;0.28;0.03;0.04;0.0002 ;0.0008;0.00012;0.006;0.0004;0.006;0.0004;;;;;;;;;;;;;;;;;;;;;;
November;M8;7.49;9.18;20;0.74 ;0.12;5.2;0.85;0.13;0.016 ;0.26;0.02;0.03;0.0002 ;0.0007;0.00009;0.004;0.0003;0.005;0.0004;;;;;;;;;;;;;;;;;;;;;;
Desember;M1;7.37;8.3;23;1.59 ;0.44;8.3;0.66;0.17;0.017 ;0.29;0.04;0.05;0.0002 ;0.0022;0.00013;0.013;0.0009;0.011;0.0012;;;;;;;;;;;;;;;;;;;;;;
Desember;M2;8.31;8.7;6;0.52 ;0.21;3.5;0.94;0.12;0.011 ;0.26;0.03;0.04;0.0001 ;0.0012;0.00008;0.005;0.0003;0.006;0.0006;;;;;;;;;;;;;;;;;;;;;;
Desember;T1;7.4;9;22;1.63 ;0.27;7.8;1.1;0.05;0.015 ;0.24;0.06;0.04;0.0002 ;0.002;0.00012;0.012;0.0008;0.009;0.0011;;;;;;;;;;;;;;;;;;;;;;
Desember;T2;7.54;7.7;11;1.60 ;0.08;5.2;0.46;0.09;0.012 ;0.18;0.04;0.03;0.0002 ;0.0013;0.00009;0.006;0.0003;0.006;0.0007;;;;;;;;;;;;;;;;;;;;;;
Desember;T3;8.05;9.2;5;1.49 ;0.08;6.1;0.38;0.08;0.015 ;0.17;0.02;0.03;0.0002 ;0.0012;0.00016;0.005;0.0003;0.005;0.0006;;;;;;;;;;;;;;;;;;;;;;
Desember;M3;7.88;9.6;16;0.79 ;0.36;6.3;0.59;0.06;0.012 ;0.16;0.03;0.03;0.0003 ;0.0019;0.00009;0.009;0.0005;0.006;0.0008;;;;;;;;;;;;;;;;;;;;;;
Desember;M4;7.98;8.9;24;0.86 ;0.12;7.4;0.61;0.08;0.015 ;0.21;0.03;0.04;0.0004 ;0.0022;0.00012;0.012;0.0008;0.009;0.0013;;;;;;;;;;;;;;;;;;;;;;
Desember;T4;7.98;8.7;16;0.69 ;0.16;4.6;0.71;0.11;0.018 ;0.18;0.03;0.03;0.0003 ;0.0018;0.00008;0.005;0.0005;0.006;0.0007;;;;;;;;;;;;;;;;;;;;;;
Desember;T5;7.93;8.6;8;0.49 ;0.12;3.5;0.63;0.02;0.006 ;0.16;0.02;0.05;0.0002 ;0.0016;0.00006;0.004;0.0003;0.005;0.0006;;;;;;;;;;;;;;;;;;;;;;
Desember;M5;7.9;9.7;33;0.56 ;0.12;7.2;0.69;0.08;0.017 ;0.2;0.04;0.05;0.0003 ;0.0025;0.00012;0.007;0.0004;0.008;0.0012;;;;;;;;;;;;;;;;;;;;;;
Desember;M6;7.71;9.1;26;0.52 ;0.12;7.5;0.9;0.14;0.016 ;0.18;0.03;0.03;0.0003 ;0.0022;0.0001;0.005;0.0003;0.006;0.0009;;;;;;;;;;;;;;;;;;;;;;
Desember;T6;7.81;8.8;13;1.14 ;0.26;8.5;0.98;0.16;0.017 ;0.20 ;0.04;0.04;0.0003 ;0.0023;0.00009;0.006;0.0003;0.007;0.0011;;;;;;;;;;;;;;;;;;;;;;
Desember;M7;7.8;8.7;24;0.44 ;0.09;7.8;0.84;0.13;0.015 ;0.19;0.03;0.03;0.0002 ;0.0021;0.00007;0.005;0.0004;0.006;0.0009;;;;;;;;;;;;;;;;;;;;;;
