Month;NO;PH;DO;COD;NH3-N;TP;CODMn;F;Oil;Cr6+;LAS;Cu;Zn;Cd;As;Hg;CN;VP;S;Se;;;;;;;;;;;;;;;;;;;;;;
Desember;M8;7.9;9.2;20;0.68 ;0.08;8.3;0.72;0.12;0.015 ;0.18;0.02;0.03;0.0002 ;0.0019;0.00005;0.004;0.0003;0.005;0.0008;;;;;;;;;;;;;;;;;;;;;;
Januari;M1;7.43;7.1;25;1.74 ;0.42;7.7;0.44;0.15;0.013 ;0.26;0.05;0.06;0.0002 ;0.0032;0.00013;0.012;0.0008;0.011;0.0011;;;;;;;;;;;;;;;;;;;;;;
Januari;M2;7.5;8.6;8;0.62 ;0.19;2.6;0.87;0.07;0.008 ;0.28;0.04;0.05;0.0002 ;0.0018;0.00007;0.006;0.0004;0.006;0.0006;;;;;;;;;;;;;;;;;;;;;;
Januari;T1;7.88;8.8;6;1.52 ;0.32;7.2;0.76;0.05;0.019 ;0.28;0.06;0.05;0.0002 ;0.0018;0.00006;0.011;0.0006;0.009;0.0009;;;;;;;;;;;;;;;;;;;;;;
Januari;T2;7.81;8.1;11;1.63 ;0.12;3.4;0.45;0.08;0.014 ;0.18;0.03;0.06;0.0003 ;0.0018;0.00009;0.007;0.0005;0.007;0.0007;;;;;;;;;;;;;;;;;;;;;;
Januari;T3;7.46;8.6;7;1.31 ;0.05;5.5;0.52;0.07;0.016 ;0.16;0.02;0.04;0.0002 ;0.0016;0.00018;0.006;0.0003;0.006;0.0006;;;;;;;;;;;;;;;;;;;;;;
Januari;M3;7.93;8.5;10;1.11 ;0.13;6.2;0.61;0.06;0.013 ;0.22;0.03;0.03;0.0003 ;0.0026;0.00011;0.009;0.0006;0.008;0.0011;;;;;;;;;;;;;;;;;;;;;;
Januari;M4;7.84;8.2;15;0.62 ;0.16;5.2;0.63;0.08;0.016 ;0.26;0.03;0.03;0.0004 ;0.0028;0.00012;0.012;0.0009;0.01;0.0015;;;;;;;;;;;;;;;;;;;;;;
Januari;T4;7.64;8.9;8;0.33 ;0.21;2.6;0.53;0.07;0.013 ;0.2;0.02;0.04;0.0004 ;0.0018;0.00008;0.007;0.0005;0.005;0.0009;;;;;;;;;;;;;;;;;;;;;;
Januari;T5;7.82;8.7;6;0.58 ;0.05;3.6;0.58;0.04;0.006 ;0.18;0.02;0.04;0.0002 ;0.0016;0.00006;0.006;0.0003;0.005;0.0006;;;;;;;;;;;;;;;;;;;;;;
Januari;M5;7.91;7.3;14;0.58 ;0.11;3.9;0.66;0.1;0.012 ;0.26;0.04;0.03;0.0003 ;0.0036;0.00013;0.01;0.0005;0.007;0.0012;;;;;;;;;;;;;;;;;;;;;;
Januari;M6;7.69;7.8;17;0.96 ;0.16;4.9;0.81;0.18;0.021 ;0.26;0.03;0.03;0.0003 ;0.0032;0.00011;0.008;0.0004;0.006;0.0009;;;;;;;;;;;;;;;;;;;;;;
Januari;T6;7.72;8.5;11;0.81 ;0.2;5.5;0.88;0.16;0.018 ;0.25;0.04;0.04;0.0003 ;0.0034;0.00013;0.007;0.0006;0.008;0.0011;;;;;;;;;;;;;;;;;;;;;;
Januari;M7;7.86;8.6;17;0.45 ;0.07;5.3;0.84;0.17;0.017 ;0.24;0.02;0.03;0.0003 ;0.003;0.00011;0.007;0.0005;0.007;0.0008;;;;;;;;;;;;;;;;;;;;;;
Januari;M8;7.94;9.3;15;0.62 ;0.1;5.2;0.85;0.16;0.015 ;0.24;0.02;0.04;0.0002 ;0.0028;0.00009;0.006;0.0004;0.006;0.0007;;;;;;;;;;;;;;;;;;;;;;
Maret;M1;7.46;7.2;36;2.22 ;0.36;9.9;0.46;0.13;0.014 ;0.26;0.05;0.04;0.0002 ;0.0036;0.00013;0.013;0.0009;0.012;0.0012;;;;;;;;;;;;;;;;;;;;;;
Maret;M2;7.53;8.7;32;0.77 ;0.16;3.6;0.85;0.06;0.009 ;0.27;0.05;0.03;0.0002 ;0.0019;0.00008;0.007;0.0006;0.007;0.0008;;;;;;;;;;;;;;;;;;;;;;
Maret;T1;7.92;8.9;30;1.48 ;0.34;6.3;0.77;0.05;0.018 ;0.29;0.07;0.04;0.0002 ;0.0019;0.00006;0.012;0.0008;0.009;0.0009;;;;;;;;;;;;;;;;;;;;;;
Maret;T2;7.83;8.2;6;1.50 ;0.15;3.7;0.46;0.09;0.015 ;0.19;0.04;0.05;0.0003 ;0.0021;0.00008;0.008;0.0006;0.008;0.0008;;;;;;;;;;;;;;;;;;;;;;
Maret;T3;7.48;8.6;8;1.89 ;0.09;5.9;0.51;0.06;0.017 ;0.17;0.03;0.05;0.0002 ;0.0018;0.00017;0.007;0.0004;0.007;0.0007;;;;;;;;;;;;;;;;;;;;;;
Maret;M3;7.96;8.7;22;1.35 ;0.21;6.8;0.63;0.05;0.014 ;0.21;0.03;0.05;0.0003 ;0.0028;0.00012;0.009;0.0007;0.009;0.0012;;;;;;;;;;;;;;;;;;;;;;
Maret;M4;7.86;8.3;31;1.32 ;0.21;5.1;0.62;0.07;0.018 ;0.26;0.03;0.04;0.0004 ;0.0031;0.00013;0.013;0.0009;0.012;0.0016;;;;;;;;;;;;;;;;;;;;;;
Maret;T4;7.67;8.8;6;0.61 ;0.15;2.6;0.54;0.06;0.013 ;0.21;0.02;0.03;0.0004 ;0.0019;0.00009;0.008;0.0006;0.006;0.0009;;;;;;;;;;;;;;;;;;;;;;
Maret;T5;7.85;8.8;12;0.67 ;0.03;3.6;0.56;0.05;0.007 ;0.18;0.03;0.04;0.0002 ;0.0017;0.00007;0.007;0.0004;0.006;0.0008;;;;;;;;;;;;;;;;;;;;;;
Maret;M5;7.95;7.4;29;1.21 ;0.15;6.7;0.67;0.09;0.013 ;0.25;0.05;0.04;0.0003 ;0.0036;0.00013;0.012;0.0004;0.008;0.0013;;;;;;;;;;;;;;;;;;;;;;
Maret;M6;7.72;7.9;20;1.51 ;0.12;3.9;0.76;0.17;0.022 ;0.26;0.04;0.04;0.0003 ;0.0035;0.00012;0.009;0.0005;0.007;0.0009;;;;;;;;;;;;;;;;;;;;;;
Maret;T6;7.75;8.7;30;0.79 ;0.21;5.2;0.86;0.17;0.019 ;0.24;0.05;0.05;0.0003 ;0.0036;0.00014;0.008;0.0008;0.009;0.0012;;;;;;;;;;;;;;;;;;;;;;
Maret;M7;7.89;8.8;28;1.21 ;0.12;4.9;0.82;0.16;0.018 ;0.23;0.03;0.04;0.0003 ;0.0031;0.00012;0.008;0.0006;0.008;0.0009;;;;;;;;;;;;;;;;;;;;;;
Maret;M8;7.97;9.4;26;0.98 ;0.11;4.6;0.83;0.15;0.015 ;0.24;0.02;0.03;0.0003 ;0.0028;0.00009;0.007;0.0003;0.007;0.0006;;;;;;;;;;;;;;;;;;;;;;
April;M1;7.48;7.2;32;2.02 ;0.32;8.6;0.48;0.14;0.015 ;0.25;0.06;0.05;0.0002 ;0.0035;0.00014;0.014;0.0008;0.013;0.0013;;;;;;;;;;;;;;;;;;;;;;
April;M2;7.52;8.6;34;0.79 ;0.18;4.2;0.86;0.07;0.009 ;0.26;0.05;0.03;0.0002 ;0.0019;0.00008;0.007;0.0006;0.008;0.0008;;;;;;;;;;;;;;;;;;;;;;
April;T1;7.99;8.8;32;1.42 ;0.33;6.2;0.76;0.06;0.017 ;0.28;0.06;0.03;0.0002 ;0.0021;0.00007;0.013;0.0008;0.009;0.0009;;;;;;;;;;;;;;;;;;;;;;
April;T2;7.84;8.1;8;1.51 ;0.16;3.8;0.48;0.08;0.016 ;0.18;0.03;0.04;0.0003 ;0.0021;0.00008;0.008;0.0006;0.007;0.0009;;;;;;;;;;;;;;;;;;;;;;
April;T3;7.49;8.2;10;1.68 ;0.08;5.6;0.52;0.07;0.018 ;0.17;0.04;0.04;0.0002 ;0.0019;0.00016;0.008;0.0005;0.007;0.0007;;;;;;;;;;;;;;;;;;;;;;
April;M3;7.98;8.3;23;1.84 ;0.22;6.4;0.64;0.06;0.016 ;0.22;0.03;0.06;0.0003 ;0.0028;0.00012;0.009;0.0007;0.008;0.0013;;;;;;;;;;;;;;;;;;;;;;
April;M4;7.87;8.1;32;1.32 ;0.22;5.6;0.63;0.08;0.017 ;0.28;0.05;0.05;0.0004 ;0.0028;0.00014;0.013;0.0008;0.012;0.0016;;;;;;;;;;;;;;;;;;;;;;
April;T4;7.68;8.6;8;0.86 ;0.16;2.9;0.55;0.07;0.015 ;0.22;0.02;0.04;0.0004 ;0.0019;0.00009;0.009;0.0006;0.005;0.0008;;;;;;;;;;;;;;;;;;;;;;
April;T5;7.86;8.6;13;0.68 ;0.05;3.9;0.53;0.06;0.008 ;0.19;0.04;0.04;0.0002 ;0.0018;0.00008;0.007;0.0005;0.006;0.0008;;;;;;;;;;;;;;;;;;;;;;
April;M5;7.96;7.5;28;1.22 ;0.16;7.2;0.62;0.08;0.014 ;0.26;0.05;0.03;0.0003 ;0.0036;0.00013;0.011;0.0004;0.007;0.0014;;;;;;;;;;;;;;;;;;;;;;
April;M6;7.81;7.8;21;1.64 ;0.13;4.2;0.75;0.18;0.021 ;0.25;0.04;0.04;0.0003 ;0.0032;0.00013;0.009;0.0004;0.007;0.0009;;;;;;;;;;;;;;;;;;;;;;
April;T6;7.76;8.6;28;0.85 ;0.22;5.5;0.85;0.18;0.018 ;0.23;0.04;0.05;0.0003 ;0.0035;0.00014;0.008;0.0008;0.009;0.0013;;;;;;;;;;;;;;;;;;;;;;
April;M7;7.82;8.6;26;1.24 ;0.14;5.2;0.83;0.16;0.017 ;0.24;0.03;0.03;0.0003 ;0.0031;0.00011;0.009;0.0007;0.007;0.0009;;;;;;;;;;;;;;;;;;;;;;
April;M8;7.96;9.2;25;0.96 ;0.12;5.6;0.82;0.17;0.016 ;0.22;0.02;0.05;0.0003 ;0.0027;0.00009;0.007;0.0003;0.006;0.0008;;;;;;;;;;;;;;;;;;;;;;
Mei;M1;7.79;7.8;27;1.94 ;0.37;9.8;0.45;0.16;0.015 ;0.28;0.06;0.05;0.0002 ;0.0035;0.00013;0.014;0.0008;0.012;0.0006;;;;;;;;;;;;;;;;;;;;;;
Mei;M2;7.61;8.7;20;0.90 ;0.13;4.5;0.86;0.08;0.009 ;0.29;0.06;0.05;0.0002 ;0.0021;0.00009;0.007;0.0005;0.014;0.0007;;;;;;;;;;;;;;;;;;;;;;
Mei;T1;7.47;7.9;42;1.52 ;0.38;6.2;0.76;0.06;0.019 ;0.31;0.08;0.04;0.0002 ;0.0021;0.00007;0.011;0.0009;0.015;0.0009;;;;;;;;;;;;;;;;;;;;;;
Mei;T2;7.47;8.2;10;1.20 ;0.16;3.8;0.46;0.07;0.016 ;0.21;0.05;0.03;0.0003 ;0.0022;0.00009;0.007;0.0005;0.007;0.0005;;;;;;;;;;;;;;;;;;;;;;
Mei;T3;7.64;8.3;12;1.80 ;0.09;5.1;0.51;0.08;0.016 ;0.18;0.05;0.04;0.0002 ;0.0019;0.00018;0.008;0.0005;0.008;0.0003;;;;;;;;;;;;;;;;;;;;;;
Mei;M3;7.74;7.8;21;1.90 ;0.26;6.6;0.62;0.07;0.015 ;0.22;0.04;0.05;0.0003 ;0.0029;0.00013;0.008;0.0008;0.006;0.0005;;;;;;;;;;;;;;;;;;;;;;
Mei;M4;7.76;9.1;32;1.21 ;0.12;4.8;0.62;0.07;0.019 ;0.27;0.04;0.03;0.0004 ;0.0032;0.00014;0.012;0.0008;0.013;0.0005;;;;;;;;;;;;;;;;;;;;;;
Mei;T4;7.74;7.6;14;0.50 ;0.14;2.5;0.56;0.06;0.014 ;0.23;0.03;0.04;0.0004 ;0.0021;0.00009;0.009;0.0007;0.008;0.0006;;;;;;;;;;;;;;;;;;;;;;
Mei;T5;7.32;7.6 ;8;0.62 ;0.07;3.5;0.58;0.05;0.008 ;0.19;0.02;0.03;0.0002 ;0.0019;0.00008;0.008;0.0003;0.006;0.0005;;;;;;;;;;;;;;;;;;;;;;
Mei;M5;7.86;7.7;42;1.12 ;0.13;6.6;0.64;0.09;0.014 ;0.26;0.04;0.04;0.0003 ;0.0036;0.00014;0.012;0.0005;0.007;0.0007;;;;;;;;;;;;;;;;;;;;;;
Mei;M6;7.61;8.1;36;0.89 ;0.11;4.1;0.83;0.19;0.023 ;0.28;0.05;0.05;0.0004 ;0.0035;0.00013;0.008;0.0004;0.006;0.0007;;;;;;;;;;;;;;;;;;;;;;
Mei;T6;7.59;8.2;18;0.70 ;0.17;5.1;0.86;0.17;0.019 ;0.26;0.06;0.04;0.0003 ;0.0037;0.00015;0.007;0.0007;0.009;0.0008;;;;;;;;;;;;;;;;;;;;;;
Mei;M7;7.49;7.6;26;0.99 ;0.16;4.6;0.85;0.18;0.019 ;0.25;0.04;0.03;0.0003 ;0.0032;0.00013;0.008;0.0006;0.008;0.0006;;;;;;;;;;;;;;;;;;;;;;
Mei;M8;7.62;7.9;28;0.86 ;0.15;4.2;0.84;0.16;0.016 ;0.26;0.02;0.04;0.0003 ;0.0029;0.00008;0.008;0.0004;0.006;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juni;M1;7.78;7.9;35;1.79 ;0.31;7.9;0.45;0.17;0.016 ;0.29;0.06;0.04;0.0003 ;0.0033;0.00026;0.018;0.0013;0.013;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juni;M2;7.68;8.8;9;0.70 ;0.16;3.5;0.87;0.09;0.008 ;0.28;0.07;0.03;0.0003 ;0.0032;0.00025;0.017;0.0007;0.012;0.0008;;;;;;;;;;;;;;;;;;;;;;
Juni;T1;7.49;8.1;42;1.42 ;0.35;6.6;0.75;0.07;0.019 ;0.31;0.08;0.05;0.0003 ;0.0035;0.00026;0.015;0.0013;0.014;0.0007;;;;;;;;;;;;;;;;;;;;;;
Juni;T2;7.48;8.5;4;1.13 ;0.3;4.6;0.47;0.08;0.017 ;0.22;0.06;0.03;0.0003 ;0.0015;0.00009;0.009;0.0008;0.007;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juni;T3;7.66;8.4;6;1.49 ;0.09;5.2;0.52;0.09;0.015 ;0.19;0.05;0.03;0.0002 ;0.0017;0.00013;0.008;0.0006;0.009;0.0004;;;;;;;;;;;;;;;;;;;;;;
Juni;M3;7.76;7.9;23;1.24 ;0.19;5.8;0.63;0.06;0.016 ;0.21;0.05;0.07;0.0003 ;0.0012;0.00015;0.008;0.0008;0.007;0.0005;;;;;;;;;;;;;;;;;;;;;;
Juni;M4;7.71;9.2;31;1.25 ;0.28;5.6;0.62;0.06;0.021 ;0.28;0.06;0.04;0.0002 ;0.0029;0.00016;0.007;0.0013;0.013;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juni;T4;7.78;7.8;6;0.46 ;0.15;3.2;0.57;0.07;0.015 ;0.24;0.04;0.05;0.0003 ;0.0023;0.00015;0.012;0.0007;0.009;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juni;T5;7.35;7.9 ;12;0.55 ;0.08;3.4;0.59;0.06;0.008 ;0.19;0.03;0.03;0.0002 ;0.0021;0.00015;0.011;0.0006;0.007;0.0007;;;;;;;;;;;;;;;;;;;;;;
Juni;M5;7.82;8.6;40;1.07 ;0.24;4.5;0.65;0.08;0.015 ;0.25;0.05;0.03;0.0003 ;0.0029;0.00018;0.019;0.0007;0.008;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juni;M6;7.63;8.4;30;0.78 ;0.16;5.2;0.82;0.21;0.021 ;0.29;0.06;0.04;0.0005 ;0.0026;0.00016;0.018;0.0012;0.007;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juni;T6;7.62;8.5;18;0.70 ;0.17;5.8;0.86;0.18;0.021 ;0.27;0.07;0.05;0.0004 ;0.0031;0.00018;0.009;0.0009;0.008;0.0007;;;;;;;;;;;;;;;;;;;;;;
Juni;M7;7.52;7.6;29;0.99 ;0.19;5.9;0.86;0.19;0.019 ;0.26;0.05;0.04;0.0004 ;0.0028;0.00016;0.016;0.0012;0.009;0.0008;;;;;;;;;;;;;;;;;;;;;;
Juni;M8;7.65;7.8;28;0.87 ;0.18;6.4;0.85;0.17;0.017 ;0.25;0.03;0.03;0.0003 ;0.0026;0.00015;0.012;0.0009;0.007;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juli;M1;7.79;8.5;29;1.49 ;0.31;8.1;0.46;0.18;0.017 ;0.28;0.06;0.05;0.0003 ;0.0032;0.00026;0.019;0.0014;0.014;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juli;M2;7.69;8.9;13;0.62 ;0.19;3.6;0.82;0.09;0.009 ;0.29;0.08;0.04;0.0003 ;0.0034;0.00024;0.018;0.0008;0.011;0.0008;;;;;;;;;;;;;;;;;;;;;;
Juli;T1;7.59;8.5;16;1.38 ;0.2;6.7;0.76;0.08;0.018 ;0.32;0.07;0.03;0.0003 ;0.0036;0.00025;0.016;0.0014;0.015;0.0007;;;;;;;;;;;;;;;;;;;;;;
Juli;T2;7.51;8.9;9;1.82 ;0.29;4.8;0.46;0.09;0.019 ;0.23;0.06;0.04;0.0003 ;0.0015;0.00011;0.008;0.0009;0.008;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juli;T3;7.69;8.8;8;1.52 ;0.08;5.5;0.51;0.08;0.015 ;0.21;0.05;0.04;0.0003 ;0.0018;0.00012;0.009;0.0007;0.008;0.0004;;;;;;;;;;;;;;;;;;;;;;
Juli;M3;7.86;8.2;13;0.87 ;0.18;5.9;0.62;0.07;0.016 ;0.23;0.06;0.03;0.0003 ;0.0015;0.00016;0.007;0.0007;0.009;0.0005;;;;;;;;;;;;;;;;;;;;;;
Juli;M4;7.74;9.4;28;1.52 ;0.28;5.8;0.61;0.07;0.022 ;0.25;0.05;0.03;0.0002 ;0.0031;0.00015;0.006;0.0014;0.011;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juli;T4;7.82;7.9;19;0.46 ;0.17;3.5;0.58;0.06;0.016 ;0.24;0.03;0.04;0.0003 ;0.0024;0.00016;0.013;0.0008;0.009;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juli;T5;7.42;8.5 ;9;0.87 ;0.15;3.6;0.56;0.06;0.009 ;0.21;0.04;0.05;0.0002 ;0.0023;0.00014;0.013;0.0007;0.008;0.0007;;;;;;;;;;;;;;;;;;;;;;
Juli;M5;7.91;8.9;36;1.12 ;0.26;4.8;0.62;0.08;0.015 ;0.23;0.03;0.03;0.0002 ;0.0028;0.00019;0.018;0.0006;0.009;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juli;M6;7.82;8.6;27;0.73 ;0.15;5.4;0.81;0.19;0.022 ;0.28;0.06;0.04;0.0004 ;0.0024;0.00015;0.017;0.0013;0.007;0.0006;;;;;;;;;;;;;;;;;;;;;;
Juli;T6;7.71;8.6;17;0.86 ;0.21;5.9;0.82;0.18;0.021 ;0.26;0.08;0.03;0.0004 ;0.0032;0.00017;0.008;0.0008;0.009;0.0007;;;;;;;;;;;;;;;;;;;;;;
Juli;M7;7.53;7.9;29;0.82 ;0.19;6.1;0.82;0.19;0.021 ;0.24;0.06;0.04;0.0004 ;0.0027;0.00015;0.017;0.0013;0.008;0.0008;;;;;;;;;;;;;;;;;;;;;;
Juli;M8;7.68;8.2;26;0.73 ;0.17;6.6;0.83;0.18;0.018 ;0.25;0.04;0.03;0.0003 ;0.0025;0.00018;0.013;0.0008;0.006;0.0006;;;;;;;;;;;;;;;;;;;;;;
